,actions,expansions,goal_tests,hstring,new_nodes,plan_length,pname,sname,solution,time_elapsed
0,20,43,56,,178,6,Air Cargo Problem 1,breadth_first_search,"[<aimacode.planning.Action object at 0x1a17f307b8>, <aimacode.planning.Action object at 0x1a17f30b70>, <aimacode.planning.Action object at 0x1a17f30898>, <aimacode.planning.Action object at 0x1a17f309e8>, <aimacode.planning.Action object at 0x1a17f30390>, <aimacode.planning.Action object at 0x1a17f30be0>]",0.004193517001112923
1,20,21,22,,84,20,Air Cargo Problem 1,depth_first_graph_search,"[<aimacode.planning.Action object at 0x1a17e062b0>, <aimacode.planning.Action object at 0x1a17e06278>, <aimacode.planning.Action object at 0x1a17f30518>, <aimacode.planning.Action object at 0x1a17e06240>, <aimacode.planning.Action object at 0x1a17e062e8>, <aimacode.planning.Action object at 0x1a17e06198>, <aimacode.planning.Action object at 0x1a17e062b0>, <aimacode.planning.Action object at 0x1a17e06278>, <aimacode.planning.Action object at 0x1a17e06048>, <aimacode.planning.Action object at 0x1a17e06240>, <aimacode.planning.Action object at 0x1a17f30f98>, <aimacode.planning.Action object at 0x1a17e062e8>, <aimacode.planning.Action object at 0x1a17e062b0>, <aimacode.planning.Action object at 0x1a17e061d0>, <aimacode.planning.Action object at 0x1a17e060f0>, <aimacode.planning.Action object at 0x1a17e06278>, <aimacode.planning.Action object at 0x1a17f30518>, <aimacode.planning.Action object at 0x1a17e06240>, <aimacode.planning.Action object at 0x1a17e062e8>, <aimacode.planning.Action object at 0x1a17e06198>]",0.002303637986187823
2,20,60,62,,240,6,Air Cargo Problem 1,uniform_cost_search,"[<aimacode.planning.Action object at 0x1a17f30ef0>, <aimacode.planning.Action object at 0x1a17e06630>, <aimacode.planning.Action object at 0x1a17f30cf8>, <aimacode.planning.Action object at 0x1a17e06710>, <aimacode.planning.Action object at 0x1a17e064e0>, <aimacode.planning.Action object at 0x1a17e06978>]",0.007567186999949627
3,20,7,9, with h_unmet_goals,29,6,Air Cargo Problem 1,greedy_best_first_graph_search,"[<aimacode.planning.Action object at 0x1a17e06eb8>, <aimacode.planning.Action object at 0x1a17e069b0>, <aimacode.planning.Action object at 0x1a17e065f8>, <aimacode.planning.Action object at 0x1a17e06cf8>, <aimacode.planning.Action object at 0x1a17e06400>, <aimacode.planning.Action object at 0x1a17e06be0>]",0.0012632110010599717
4,20,6,8, with h_pg_levelsum,28,6,Air Cargo Problem 1,greedy_best_first_graph_search,"[<aimacode.planning.Action object at 0x1a17e06208>, <aimacode.planning.Action object at 0x1a17f308d0>, <aimacode.planning.Action object at 0x1a17f30a20>, <aimacode.planning.Action object at 0x1a17f30d30>, <aimacode.planning.Action object at 0x1a17f302e8>, <aimacode.planning.Action object at 0x1a17f30e10>]",0.2036858770006802
5,20,6,8, with h_pg_maxlevel,24,6,Air Cargo Problem 1,greedy_best_first_graph_search,"[<aimacode.planning.Action object at 0x1a17e55358>, <aimacode.planning.Action object at 0x1a17e55208>, <aimacode.planning.Action object at 0x1a17e55748>, <aimacode.planning.Action object at 0x1a17e55780>, <aimacode.planning.Action object at 0x1a17e556d8>, <aimacode.planning.Action object at 0x1a17e55550>]",0.15710511298675556
6,20,43,45, with h_pg_setlevel,175,7,Air Cargo Problem 1,greedy_best_first_graph_search,"[<aimacode.planning.Action object at 0x1a17e60898>, <aimacode.planning.Action object at 0x1a17e60390>, <aimacode.planning.Action object at 0x1a17e60908>, <aimacode.planning.Action object at 0x1a17e604a8>, <aimacode.planning.Action object at 0x1a17e606d8>, <aimacode.planning.Action object at 0x1a17e60898>, <aimacode.planning.Action object at 0x1a17e60828>]",0.3285088239936158
7,20,50,52, with h_unmet_goals,206,6,Air Cargo Problem 1,astar_search,"[<aimacode.planning.Action object at 0x1a17e68208>, <aimacode.planning.Action object at 0x1a17e68470>, <aimacode.planning.Action object at 0x1a17e68400>, <aimacode.planning.Action object at 0x1a17e68160>, <aimacode.planning.Action object at 0x1a17e684e0>, <aimacode.planning.Action object at 0x1a17e682e8>]",0.007444426999427378
8,20,28,30, with h_pg_levelsum,122,6,Air Cargo Problem 1,astar_search,"[<aimacode.planning.Action object at 0x1a17e59550>, <aimacode.planning.Action object at 0x1a17e597b8>, <aimacode.planning.Action object at 0x1a17e59748>, <aimacode.planning.Action object at 0x1a17e594a8>, <aimacode.planning.Action object at 0x1a17e59828>, <aimacode.planning.Action object at 0x1a17e59630>]",0.5030540440056939
9,20,43,45, with h_pg_maxlevel,180,6,Air Cargo Problem 1,astar_search,"[<aimacode.planning.Action object at 0x1a17e7a208>, <aimacode.planning.Action object at 0x1a17e7a470>, <aimacode.planning.Action object at 0x1a17e7a160>, <aimacode.planning.Action object at 0x1a17e7a400>, <aimacode.planning.Action object at 0x1a17e7a4e0>, <aimacode.planning.Action object at 0x1a17e7a2e8>]",0.5173146960005397
